asset_id,status,page,component,notes
about/testimonials/nanavati-max,pending-integration,,,
about/testimonials/s3k-impex,pending-integration,,,
about/cta-banner,pending-integration,,,
case-study/hero-blu-diamond,pending-integration,,,
case-study/overview/challenge,pending-integration,,,
case-study/overview/approach,pending-integration,,,
case-study/overview/deliverables,pending-integration,,,
case-study/gallery/villa-exterior,pending-integration,,,
case-study/gallery/luxury-interior,pending-integration,,,
case-study/gallery/ocean-pool,pending-integration,,,
case-study/gallery/branded-lifestyle,pending-integration,,,
case-study/workflow/research-reference,pending-integration,,,
case-study/workflow/ai-ideation,pending-integration,,,
case-study/workflow/refine-direct,pending-integration,,,
case-study/workflow/post-production,pending-integration,,,
case-study/workflow/multi-platform,pending-integration,,,
case-study/workflow-signature,pending-integration,,,
case-study/output-composite,pending-integration,,,
case-study/outputs/website-laptop,pending-integration,,,
case-study/outputs/tablet,pending-integration,,,
case-study/outputs/mobile,pending-integration,,,
case-study/outputs/billboard,pending-integration,,,
case-study/outputs/brochure,pending-integration,,,
case-study/results-strip,pending-integration,,,
case-study/cta-banner,pending-integration,,,
case-study/gallery/brand-wall,pending-integration,,,
case-study/hero-with-play-button,pending-integration,,,
contact/hero-workspace,pending-integration,,,
contact/channel-cards/email,pending-integration,,,
contact/icons/email,pending-integration,,,
contact/channel-cards/linkedin,pending-integration,,,
contact/icons/linkedin,pending-integration,,,
contact/channel-cards/behance,pending-integration,,,
contact/icons/behance,pending-integration,,,
contact/channel-cards/youtube,pending-integration,,,
contact/icons/youtube,pending-integration,,,
contact/project-inquiry-illustration,pending-integration,,,
contact/global-map-banner,pending-integration,,,
contact/process/discover,pending-integration,,,
contact/process/plan,pending-integration,,,
contact/process/create,pending-integration,,,
contact/process/deliver,pending-integration,,,
contact/cta-banner,pending-integration,,,
shared/icons/ai-chip,pending-integration,,,
shared/icons/claude,pending-integration,,,
shared/icons/ai-bot,pending-integration,,,
shared/icons/workflow,pending-integration,,,
shared/icons/website-layout,pending-integration,,,
shared/icons/image-design,pending-integration,,,
shared/icons/web-code,pending-integration,,,
shared/icons/integrations,pending-integration,,,
shared/icons/growth,pending-integration,,,
shared/icons/research,pending-integration,,,
shared/icons/strategy,pending-integration,,,
shared/icons/ideas,pending-integration,,,
shared/icons/launch,pending-integration,,,
shared/icons/photography,pending-integration,,,
shared/icons/video,pending-integration,,,
shared/icons/creative-image,pending-integration,,,
shared/icons/audience,pending-integration,,,
shared/icons/real-estate,pending-integration,,,
shared/icons/healthcare,pending-integration,,,
shared/icons/jewelry,pending-integration,,,
shared/icons/3d-cube,pending-integration,,,
shared/icons/add-user,pending-integration,,,
shared/icons/email,pending-integration,,,
shared/icons/linkedin,pending-integration,,,
shared/icons/behance,pending-integration,,,
shared/icons/youtube,pending-integration,,,
shared/icons/analytics-report,pending-integration,,,
shared/icons/milestone,pending-integration,,,
shared/icons/collaboration,pending-integration,,,
shared/brand/wordmark,pending-integration,,,
shared/brand/mark,pending-integration,,,
shared/ui/header,pending-integration,,,
shared/ui/footer,pending-integration,,,
shared/buttons/lets-work-together,pending-integration,,,
shared/buttons/view-work,pending-integration,,,
shared/buttons/start-project-outline,pending-integration,,,
shared/buttons/theme-toggle,pending-integration,,,
shared/buttons/arrow-circle-light,pending-integration,,,
shared/buttons/arrow-circle-dark,pending-integration,,,
shared/buttons/play-circle,pending-integration,,,
shared/buttons/watch-showreel,pending-integration,,,
shared/buttons/view-project-outline,pending-integration,,,
shared/buttons/download-profile,pending-integration,,,
shared/buttons/explore-services,pending-integration,,,
shared/buttons/view-case-study,pending-integration,,,
shared/buttons/automate-workflow,pending-integration,,,
shared/buttons/view-website-projects,pending-integration,,,
shared/buttons/see-video-work,pending-integration,,,
shared/buttons/send-inquiry,pending-integration,,,
shared/filters/all,pending-integration,,,
shared/filters/ai-video,pending-integration,,,
shared/filters/websites,pending-integration,,,
shared/filters/automation,pending-integration,,,
shared/filters/healthcare,pending-integration,,,
shared/filters/real-estate,pending-integration,,,
shared/filters/jewelry,pending-integration,,,
shared/filters/uiux,pending-integration,,,
shared/filters/social,pending-integration,,,
shared/ui/project-search,pending-integration,,,
contact/inquiry-form,pending-integration,,,
contact/fields/name,pending-integration,,,
